Suspected,Infected,Recovered,Vacinated,Death
299999999.0,1.0,0.0,0.0,0.0
299999998.0,1.0,0.0,0.0,0.0
299999997.0,2.0,0.0,0.0,0.0
299999996.0,3.0,0.0,0.0,0.0
299999994.0,4.0,0.0,0.0,0.0
299999991.0,7.0,1.0,0.0,0.0
299999986.0,10.0,2.0,0.0,0.0
299999980.0,15.0,3.0,0.0,0.0
299999970.0,23.0,5.0,0.0,0.0
299999956.0,34.0,8.0,0.0,0.0
299999935.0,50.0,12.0,0.0,1.0
299999904.0,74.0,18.0,0.0,1.0
299999858.0,110.0,28.0,0.0,2.0
299999790.0,163.0,41.0,0.0,4.0
299999689.0,242.0,61.0,0.0,6.0
299999539.0,359.0,91.0,0.0,9.0
299999318.0,531.0,136.0,0.0,13.0
299998991.0,786.0,201.0,0.0,20.0
299998506.0,1164.0,298.0,0.0,29.0
299997789.0,1724.0,441.0,0.0,44.0
299996727.0,2552.0,654.0,0.0,65.0
299995156.0,3778.0,968.0,0.0,96.0
299992829.0,5593.0,1433.0,0.0,143.0
299989385.0,8279.0,2122.0,0.0,212.0
299984288.0,12255.0,3142.0,0.0,314.0
299976742.0,18141.0,4651.0,0.0,465.0
299965572.0,26852.0,6885.0,0.0,688.0
299949040.0,39747.0,10192.0,0.0,1019.0
299924572.0,58831.0,15087.0,0.0,1508.0
299888360.0,87074.0,22331.0,0.0,2233.0
299834773.0,128866.0,33054.0,0.0,3305.0
299755489.0,190696.0,48921.0,0.0,4892.0
299638214.0,282145.0,72400.0,0.0,7240.0
299464803.0,417348.0,107134.0,0.0,10713.0
299208525.0,617120.0,158503.0,0.0,15850.0
298830074.0,912038.0,234442.0,0.0,23444.0
298271858.0,1346851.0,346627.0,0.0,34662.0
297449888.0,1986689.0,512202.0,0.0,51220.0
296242578.0,2925568.0,756229.0,0.0,75622.0
294475800.0,4297546.0,1115138.0,0.0,111513.0
291904176.0,6290269.0,1641413.0,0.0,164141.0
288190206.0,9159116.0,2409706.0,0.0,240970.0
282886470.0,13236899.0,3524209.0,0.0,352420.0
275432678.0,18928332.0,5126354.0,0.0,512635.0
265188676.0,26670823.0,7400454.0,0.0,740045.0
251532101.0,36837916.0,10572710.0,0.0,1057271.0
234041970.0,49571416.0,14896920.0,0.0,1489692.0
212747445.0,64569891.0,20620602.0,0.0,2062060.0
188341472.0,80933823.0,27931549.0,0.0,2793154.0
162198020.0,97214320.0,36897872.0,0.0,3689787.0
136092275.0,111738070.0,47426958.0,0.0,4742695.0
111720935.0,123085693.0,59266700.0,0.0,5926670.0
90280542.0,130462664.0,72051630.0,0.0,7205163.0
72305885.0,133784235.0,85372616.0,0.0,8537261.0
57767566.0,133507003.0,98841299.0,0.0,9884129.0
46289992.0,130365466.0,112131400.0,0.0,11213140.0
37357610.0,125148165.0,124994748.0,0.0,12499474.0
30451313.0,118563565.0,137259201.0,0.0,13725920.0
25115727.0,111185250.0,148817292.0,0.0,14881729.0
20980233.0,103446452.0,159612103.0,0.0,15961210.0
17755885.0,95657797.0,169623924.0,0.0,16962392.0
15222833.0,88032091.0,178859158.0,0.0,17885915.0
13215900.0,80708220.0,187341707.0,0.0,18734170.0
11611617.0,73771143.0,195106580.0,0.0,19510658.0
10317701.0,67267479.0,202195290.0,0.0,20219529.0
9264954.0,61217170.0,208652614.0,0.0,20865261.0
8401216.0,55621987.0,214524360.0,0.0,21452436.0
7686903.0,50471643.0,219855866.0,0.0,21985586.0
7091750.0,45748130.0,224691016.0,0.0,22469101.0
6592429.0,41428778.0,229071628.0,0.0,22907162.0
6170814.0,37488378.0,233037097.0,0.0,23303709.0
5812701.0,33900658.0,236624218.0,0.0,23662421.0
5506872.0,30639278.0,239867135.0,0.0,23986713.0
5244393.0,27678501.0,242797368.0,0.0,24279736.0
5018097.0,24993615.0,245443897.0,0.0,24544389.0
4822187.0,22561201.0,247833281.0,0.0,24783328.0
4651947.0,20359277.0,249989795.0,0.0,24998979.0
4503505.0,18367358.0,251935577.0,0.0,25193557.0
4373671.0,16566468.0,253690781.0,0.0,25369078.0
4259791.0,14939106.0,255273729.0,0.0,25527372.0
4159652.0,13469190.0,256701051.0,0.0,25670105.0
4071393.0,12141991.0,257987832.0,0.0,25798783.0
3993441.0,10944046.0,259147737.0,0.0,25914773.0
3924465.0,9863079.0,260193141.0,0.0,26019314.0
3863326.0,8887913.0,261135236.0,0.0,26113523.0
3809050.0,8008389.0,261984145.0,0.0,26198414.0
3760801.0,7215281.0,262749015.0,0.0,26274901.0
3717856.0,6500221.0,263438110.0,0.0,26343811.0
3679588.0,5855629.0,264058893.0,0.0,26405889.0
3645453.0,5274637.0,264618098.0,0.0,26461809.0
3614977.0,4751035.0,265121806.0,0.0,26512180.0
3587745.0,4279202.0,265575501.0,0.0,26557550.0
3563394.0,3854061.0,265984130.0,0.0,26598413.0
3541604.0,3471025.0,266352155.0,0.0,26635215.0
3522094.0,3125948.0,266683597.0,0.0,26668359.0
3504616.0,2815090.0,266982084.0,0.0,26698208.0
3488950.0,2535075.0,267250885.0,0.0,26725088.0
3474903.0,2282856.0,267492945.0,0.0,26749294.0
3462302.0,2055685.0,267710919.0,0.0,26771091.0
3450994.0,1851084.0,267907201.0,0.0,26790720.0
