Day,Suspected,Infected,Recovered,Quarantined
1,299999999,1,0,0
2,299999998,1,0,0
3,299999996,2,0,0
4,299999994,3,0,1
5,299999990,6,1,1
6,299999984,9,2,3
7,299999975,15,4,5
8,299999961,23,6,8
9,299999938,37,10,13
10,299999902,58,17,21
11,299999846,92,27,33
12,299999758,145,43,52
13,299999620,228,68,82
14,299999402,359,108,130
15,299999059,564,170,205
16,299998520,887,268,322
17,299997673,1396,422,507
18,299996342,2195,664,798
19,299994248,3451,1045,1254
20,299990956,5426,1643,1973
21,299985779,8532,2585,3102
22,299977640,13415,4065,4878
23,299964844,21093,6391,7670
24,299944726,33162,10050,12060
25,299913101,52134,15802,18962
26,299863392,81952,24844,29811
27,299785275,128804,39057,46862
28,299662557,202389,61394,73658
29,299469868,317891,96489,115750
30,299167557,499002,151605,181834
31,298693854,782546,238102,285495
32,297953050,1225364,373703,447881
33,296798090,1914262,585923,701723
34,295006033,2979567,917180,1097219
35,292245950,4611642,1432135,1710271
36,288042938,7076312,2227652,2653097
37,281751703,10717543,3444945,4085807
38,272571695,15922609,5281425,6224268
39,259658984,23011419,7995770,9333825
40,242392371,32020666,11894619,13692343
41,220777013,42427474,17287673,19507838
42,195790790,53000915,24408877,26799415
43,169342005,62034542,33328391,35295060
44,143697194,67973901,43903479,44425424
45,120707456,70043035,55802874,53446633
46,101350937,68425860,68590786,61632415
47,85768711,63975903,81822110,68433274
48,73577537,57769339,95109150,73543971
49,64186969,50775160,108150172,76887697
50,57000206,43712483,120730217,78557092
51,51503427,37040479,132708335,78747756
52,47287586,31008254,144001141,77703017
53,44039726,25717429,154567565,75675277
54,41524843,21176286,164396467,72902402
55,39567610,17339797,173497220,69595371
56,38037162,14136576,181892805,65933455
57,36835380,11485778,189614855,62063985
58,35888225,9306988,196700132,58104653
59,35139422,7525518,203188060,54146999
60,34545884,6074830,209119001,50260283
61,34074396,4897258,214533078,46495265
62,33699190,3943771,219469372,42887665
63,33400168,3173247,223965403,39461180
64,33161575,2551548,228056804,36230072
65,32971015,2050550,231777134,33201299
66,32818698,1647215,235157798,30376286
67,32696872,1322761,238228028,27752337
68,32599383,1061924,241014920,25323772
69,32521337,852334,243543502,23082825
70,32458835,683990,245836828,21020345
71,32408769,548818,247916076,19126335
72,32368654,440309,249800665,17390369
73,32336509,353223,251508369,15801898
74,32310745,283340,253055429,14350485
75,32290094,227269,254456670,13025965
76,32273539,182286,255725606,11818566
77,32260268,146201,256874546,10718982
78,32249628,117256,257914690,9718424
79,32241097,94039,258856222,8808640
80,32234256,75418,259708397,7981926
81,32228772,60483,260479620,7231123
82,32224374,48505,261177521,6549598
83,32220848,38898,261809021,5931231
84,32218020,31194,262380401,5370383
85,32215752,25016,262897351,4861878
86,32213934,20061,263365033,4400970
87,32212476,16088,263788122,3983313
88,32211307,12901,264170853,3604937
89,32210369,10346,264517064,3262219
90,32209617,8296,264830229,2951855
91,32209014,6653,265113494,2670837
92,32208531,5335,265369707,2416425
93,32208143,4278,265601447,2186130
94,32207832,3431,265811046,1977689
95,32207583,2751,266000617,1789047
96,32207383,2206,266172071,1618338
97,32207223,1769,266327137,1463870
98,32207094,1418,266467379,1324106
99,32206991,1137,266594214,1197656
100,32206908,912,266708922,1083256
101,32206842,731,266812661,979764
102,32206789,586,266906480,886143
103,32206746,470,266991327,801455
104,32206712,377,267068059,724851
105,32206684,302,267137452,655560
106,32206662,242,267200207,592886
107,32206645,194,267256960,536199
108,32206631,156,267308285,484927
109,32206619,125,267354699,438555
110,32206610,100,267396674,396614
111,32206603,80,267434633,358682
112,32206597,64,267468960,324377
113,32206592,51,267500004,293350
114,32206589,41,267528078,265291
115,32206586,33,267553465,239914
116,32206583,26,267576424,216964
117,32206581,21,267597187,196209
118,32206580,17,267615963,177439
119,32206578,13,267632942,160464
120,32206577,11,267648297,145113
121,32206577,8,267662183,131230
122,32206576,7,267674740,118675
123,32206575,5,267686096,107321
124,32206575,4,267696366,97053
125,32206575,3,267705652,87768
126,32206574,2,267714051,79370
127,32206574,2,267721645,71776
128,32206574,1,267728513,64909
129,32206574,1,267734724,58699
130,32206574,1,267740341,53082
131,32206574,0,267745420,48004
132,32206574,0,267750013,43411
133,32206574,0,267754167,39257
134,32206574,0,267757924,35501
135,32206574,0,267761320,32104
136,32206573,0,267764392,29032
137,32206573,0,267767170,26254
138,32206573,0,267769682,23742
139,32206573,0,267771954,21471
140,32206573,0,267774009,19416
141,32206573,0,267775867,17558
142,32206573,0,267777547,15878
143,32206573,0,267779066,14359
144,32206573,0,267780440,12985
145,32206573,0,267781682,11743
146,32206573,0,267782806,10619
147,32206573,0,267783822,9603
148,32206573,0,267784741,8684
149,32206573,0,267785572,7853
150,32206573,0,267786323,7102
151,32206573,0,267787003,6422
152,32206573,0,267787618,5808
153,32206573,0,267788173,5252
154,32206573,0,267788676,4749
155,32206573,0,267789130,4295
156,32206573,0,267789541,3884
157,32206573,0,267789913,3512
158,32206573,0,267790249,3176
159,32206573,0,267790553,2872
160,32206573,0,267790828,2597
161,32206573,0,267791076,2349
162,32206573,0,267791301,2124
163,32206573,0,267791504,1921
164,32206573,0,267791688,1737
165,32206573,0,267791855,1571
166,32206573,0,267792005,1420
167,32206573,0,267792141,1284
168,32206573,0,267792264,1161
169,32206573,0,267792375,1050
170,32206573,0,267792475,950
171,32206573,0,267792566,859
172,32206573,0,267792649,777
173,32206573,0,267792723,702
174,32206573,0,267792790,635
175,32206573,0,267792851,574
