day,suspected,Infected,Recovered,Quarantined
1,299999999,1,0,0
2,299999998,1,0,0
3,299999996,2,0,0
4,299999994,3,0,1
5,299999990,6,1,1
6,299999984,9,2,3
7,299999975,15,4,5
8,299999961,23,6,8
9,299999938,37,10,13
10,299999902,58,17,21
11,299999846,92,27,33
12,299999758,145,43,52
13,299999620,228,68,82
14,299999402,359,108,130
15,299999059,564,170,205
16,299998520,887,268,322
17,299997673,1396,422,507
18,299996342,2195,664,798
19,299994248,3451,1045,1254
20,299990956,5426,1643,1973
21,299985779,8532,2585,3102
22,299977640,13415,4065,4878
23,299964844,21093,6391,7670
24,299944726,33162,10050,12060
25,299913101,52134,15802,18962
26,299863392,81952,24844,29811
27,299785275,128804,39057,46862
28,299662557,202389,61394,73658
29,299469868,317891,96489,115750
30,299167557,499002,151605,181834
31,298693854,782546,238102,285495
32,297953050,1225364,373703,447881
33,296798090,1914262,585923,701723
34,295006033,2979567,917180,1097219
35,292245950,4611642,1432135,1710271
36,288042938,7076312,2227652,2653097
37,281751703,10717543,3444945,4085807
38,272571695,15922609,5281425,6224268
39,259658984,23011419,7995770,9333825
40,242392371,32020666,11894619,13692343
41,220777013,42427474,17287673,19507838
42,195790790,53000915,24408877,26799415
43,169342005,62034542,33328391,35295060
44,143697194,67973901,43903479,44425424
45,120707456,70043035,55802874,53446633
46,101350937,68425860,68590786,61632415
47,85768711,63975903,81822110,68433274
48,73577537,57769339,95109150,73543971
49,64186969,50775160,108150172,76887697
50,57000206,43712483,120730217,78557092
51,51503427,37040479,132708335,78747756
52,47287586,31008254,144001141,77703017
53,44039726,25717429,154567565,75675277
54,41524843,21176286,164396467,72902402
55,39567610,17339797,173497220,69595371
56,38037162,14136576,181892805,65933455
57,36835380,11485778,189614855,62063985
58,35888225,9306988,196700132,58104653
59,35139422,7525518,203188060,54146999
60,34545884,6074830,209119001,50260283
61,34074396,4897258,214533078,46495265
62,33699190,3943771,219469372,42887665
63,33400168,3173247,223965403,39461180
64,33161575,2551548,228056804,36230072
65,32971015,2050550,231777134,33201299
66,32818698,1647215,235157798,30376286
67,32696872,1322761,238228028,27752337
68,32599383,1061924,241014920,25323772
69,32521337,852334,243543502,23082825
70,32458835,683990,245836828,21020345
71,32408769,548818,247916076,19126335
72,32368654,440309,249800665,17390369
73,32336509,353223,251508369,15801898
74,32310745,283340,253055429,14350485
75,32290094,227269,254456670,13025965
76,32273539,182286,255725606,11818566
77,32260268,146201,256874546,10718982
78,32249628,117256,257914690,9718424
79,32241097,94039,258856222,8808640
80,32234256,75418,259708397,7981926
