Day,Suspected,Infected,Recovered
1,299999999,1,0
2,299999998,1,0
3,299999997,2,0
4,299999996,3,0
5,299999994,4,0
6,299999990,7,1
7,299999986,11,2
8,299999979,16,3
9,299999969,24,5
10,299999953,37,9
11,299999930,55,13
12,299999895,83,20
13,299999844,124,30
14,299999766,186,46
15,299999651,279,69
16,299999478,417,104
17,299999219,624,155
18,299998833,933,233
19,299998255,1396,348
20,299997391,2087,521
21,299996098,3121,780
22,299994166,4666,1166
23,299991277,6978,1744
24,299986957,10433,2608
25,299980498,15601,3900
26,299970841,23326,5831
27,299956402,34877,8719
28,299934816,52145,13037
29,299902545,77960,19493
30,299854306,116548,29145
31,299782209,174217,43573
32,299674477,260382,65139
33,299513554,389077,97367
34,299273294,581188,145517
35,298914851,867725,217422
36,298380686,1294574,324739
37,297585965,1929274,484759
38,296406500,2870460,723038
39,294662393,4260474,1077131
40,292097177,6301066,1601755
41,288353962,9270414,2375622
42,282954185,13535966,3509848
43,275292206,19550831,5156962
44,264670321,27811829,7517849
45,250408491,38750173,10841335
46,232055018,52536503,15408478
47,209673076,68832947,21493976
48,184079947,86615313,29304739
49,156844357,104243931,38911711
50,129933671,119860826,50205501
51,105152315,131945332,62902352
52,83688980,139710509,76600509
53,65986975,143153518,90859505
54,51898744,142831982,105269273
