,Starting_Days,Methods,Beta,Gamma,Mae,Succes
0,20,leastsq,1.3839382434388354,1.0011476173240306,16406244.995154003,True
1,25,leastsq,0.38784607860255005,0.00033386531529178143,193021617.60054353,True
2,30,leastsq,2.3896594871539816,1.9999994886576302,16990082.672114674,True
3,35,leastsq,0.39132626861985487,9.991794414077049e-08,197677128.4418559,True
4,40,leastsq,0.7053986876830087,0.3122326547553964,12583837.070789112,True
5,45,leastsq,0.49614598980300517,0.10218330691117028,926262.422550765,True
6,50,leastsq,0.49266777418649543,0.09769383222010763,1247991.0849305252,True
7,55,leastsq,0.4908702768005685,0.09531872837366384,1504884.7059879287,True
8,60,leastsq,0.4923669536311809,0.09608295212450302,1235955.102945539,True
9,65,leastsq,0.4933156040816705,0.09646480611241037,1062791.7452981165,True
10,70,leastsq,0.4940804571915619,0.0967623822806375,923482.4392721391,True
11,75,leastsq,0.4946691215728455,0.09695992701122036,816458.2820877586,True
12,20,least_squares,2.3827981844280015,1.9999999980988334,16993707.68458944,True
13,25,least_squares,0.3875122205698272,1.7845904556742192e-11,197419193.8794,True
14,30,least_squares,2.389659935086951,1.99999999999985,16990082.82487106,True
15,35,least_squares,0.39132617010147086,4.032720467287309e-12,197678473.61039472,True
16,40,least_squares,0.7053986323582271,0.31223259966235417,12583836.024473898,True
17,45,least_squares,0.49614597936114013,0.1021832966567022,926262.6816153623,True
18,50,least_squares,0.49266777532130707,0.09769383334195425,1247990.9212666817,True
19,55,least_squares,0.49087027732097055,0.09531872881351489,1504884.6187217222,True
20,60,least_squares,0.49236695383185797,0.0960829523489988,1235955.0722417366,True
21,65,least_squares,0.4933156027590753,0.09646480618822426,1062792.0124500543,True
22,70,least_squares,0.49408045711569293,0.0967623824149277,923482.4603738781,True
23,75,least_squares,0.4946691225882533,0.0969599271360705,816458.0899258562,True
