,Starting_Days,Methods,Beta,Gamma,Mae
0,20,leastsq,3.417336680033914,1.77057580915961,29616211.558944706
1,25,leastsq,1.9023135281099623,1.0264038610314794,29052796.24186166
2,30,leastsq,1.0812769936159072,0.3973832503015602,26114624.905669894
3,35,leastsq,0.7410598270323587,0.08821980065170831,13506320.51159262
4,40,leastsq,4.556028862522849,1.9073177172877442,29889932.244462263
5,45,leastsq,0.7322630487372517,0.08264712290595388,13087707.116139902
6,20,least_squares,3.267218949513304,1.999999816510138,29722956.386308573
7,25,least_squares,1.902395664030317,1.0264626536612482,29052795.791377172
8,30,least_squares,1.0812654399460628,0.39735278628634874,26114526.42003104
9,35,least_squares,0.7410718360187946,0.08824066431398286,13507154.227734795
10,40,least_squares,0.7328648007530925,0.08539605234901435,13159905.922217263
11,45,least_squares,0.7322614399394625,0.08264389097271266,13087579.332693443
